"country","city","length","accuracy","files"
197,-1,245,0.991836734693878,"./Temp/BST-Country/197.bst"
198,-1,10933,0.873502240921979,"./Temp/BST-Country/198.bst"
199,-1,3,0,"./Temp/BST-Country/199.bst"
200,-1,196,0.933673469387755,"./Temp/BST-Country/200.bst"
201,-1,6,0,"./Temp/BST-Country/201.bst"
202,-1,4859,0.985799547231941,"./Temp/BST-Country/202.bst"
203,-1,2,0,"./Temp/BST-Country/203.bst"
204,-1,3,0,"./Temp/BST-Country/204.bst"
205,-1,345625,0.304199638336347,"./Temp/BST-Country/205.bst"
206,-1,1413,0.996461429582449,"./Temp/BST-Country/206.bst"
207,-1,19,0,"./Temp/BST-Country/207.bst"
208,-1,409,1,"./Temp/BST-Country/208.bst"
209,-1,1305,0.999233716475096,"./Temp/BST-Country/209.bst"
210,-1,101,0.811881188118812,"./Temp/BST-Country/210.bst"
211,-1,76,0.671052631578947,"./Temp/BST-Country/211.bst"
212,-1,16,0,"./Temp/BST-Country/212.bst"
213,-1,41,0.024390243902439,"./Temp/BST-Country/213.bst"
214,-1,5238,0.996181748759068,"./Temp/BST-Country/214.bst"
215,-1,45526,0.621820498176866,"./Temp/BST-Country/215.bst"
216,-1,68,0.838235294117647,"./Temp/BST-Country/216.bst"
217,-1,574,0.998257839721254,"./Temp/BST-Country/217.bst"
218,-1,4317,0.996525364836692,"./Temp/BST-Country/218.bst"
219,-1,322,0.987577639751553,"./Temp/BST-Country/219.bst"
220,-1,44,0,"./Temp/BST-Country/220.bst"
221,-1,357,0.997198879551821,"./Temp/BST-Country/221.bst"
222,-1,385,0.994805194805195,"./Temp/BST-Country/222.bst"
223,-1,294,0.996598639455782,"./Temp/BST-Country/223.bst"
224,-1,13,0,"./Temp/BST-Country/224.bst"
225,-1,573,0.994764397905759,"./Temp/BST-Country/225.bst"
226,-1,422,0.992890995260663,"./Temp/BST-Country/226.bst"
227,-1,22,0,"./Temp/BST-Country/227.bst"
228,-1,600,1,"./Temp/BST-Country/228.bst"
229,-1,3548,0.989289740698985,"./Temp/BST-Country/229.bst"
230,-1,4518,0.994466578131917,"./Temp/BST-Country/230.bst"
231,-1,18516,0.826096349103478,"./Temp/BST-Country/231.bst"
232,-1,27,0,"./Temp/BST-Country/232.bst"
233,-1,56,0.732142857142857,"./Temp/BST-Country/233.bst"
234,-1,150,0.906666666666667,"./Temp/BST-Country/234.bst"
235,-1,4138,0.995408409859836,"./Temp/BST-Country/235.bst"
236,-1,86,0.755813953488372,"./Temp/BST-Country/236.bst"
237,-1,73,0.726027397260274,"./Temp/BST-Country/237.bst"
238,-1,325,1,"./Temp/BST-Country/238.bst"
239,-1,594,0.986531986531986,"./Temp/BST-Country/239.bst"
75,289,1564,0.998721227621483,"./Temp/BST-Cities/75-289.bst"
75,52467,1564,0.998721227621483,"./Temp/BST-Cities/75-289.bst"
76,15481,209,0.952153110047847,"./Temp/BST-Cities/76-15481.bst"
76,23265,209,0.952153110047847,"./Temp/BST-Cities/76-15481.bst"
76,55572,209,0.952153110047847,"./Temp/BST-Cities/76-15481.bst"
78,55660,83,0.771084337349398,"./Temp/BST-Cities/78-55660.bst"
79,51605,76,0.631578947368421,"./Temp/BST-Cities/79-51605.bst"
80,513,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,1985,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,2612,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,3911,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,4767,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,5419,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,6023,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,6948,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,7198,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,7491,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,7675,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,16563,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,21033,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
80,21389,11337,0.874393578548117,"./Temp/BST-Cities/80-513.bst"
